station_id,lat,lon,ratio,start,end,total
4151.0,34.142361,-118.14151000000001,0.8655172413793103,289.0,250.0,539.0
4210.0,33.984341,-118.47155,0.8951807228915662,2489.0,2228.0,4717.0
4157.0,34.140999,-118.13208799999998,1.1507246376811595,344.0,396.0,740.0
3010.0,34.037048,-118.25486799999999,1.263157894736842,113.0,143.0,256.0
3046.0,34.053020000000004,-118.247948,1.3478260869565217,436.0,588.0,1024.0
3034.0,34.042061,-118.26338200000001,1.3129675810473815,801.0,1052.0,1853.0
4205.0,33.993771,-118.453667,0.72,274.0,197.0,471.0
4208.0,33.99868,-118.472977,0.7216828478964401,308.0,222.0,530.0
3068.0,34.0532,-118.25095400000001,0.21238300935925125,1388.0,294.0,1682.0
3038.0,34.046822,-118.248352,0.9219858156028369,1127.0,1039.0,2166.0
