trip_id,duration,start_time,end_time,start_station_id,start_lat,start_lon,end_station_id,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
113162116,26,1/10/2019 9:03,1/10/2019 9:29,3068,34.0532,-118.25095400000001,3000,,,6600,365,One Way,Annual Pass,standard
113398769,20,1/10/2019 10:34,1/10/2019 10:54,3031,34.044701,-118.25244099999999,3000,,,5818,365,One Way,Annual Pass,standard
113264164,10,1/10/2019 10:36,1/10/2019 10:46,3005,34.0485,-118.25853700000002,3000,,,6380,365,One Way,Annual Pass,standard
113263994,2,1/10/2019 12:58,1/10/2019 13:00,4211,33.984928000000004,-118.46996299999999,3000,,,12352,1,One Way,Walk-up,standard
113331482,1440,1/10/2019 13:01,1/12/2019 13:56,4213,33.995369000000004,-118.464798,3000,,,5726,1,One Way,Walk-up,standard
113331394,1440,1/10/2019 14:15,1/12/2019 20:42,4216,34.023392,-118.47963700000001,3000,,,12050,365,One Way,Walk-up,standard
113331266,1440,1/10/2019 15:50,1/12/2019 13:34,3082,34.04652,-118.23741100000001,3000,,,5921,1,One Way,Walk-up,standard
113331267,1440,1/10/2019 15:50,1/12/2019 13:34,3082,34.04652,-118.23741100000001,3000,,,6437,1,One Way,Walk-up,standard
113181561,20,1/10/2019 16:26,1/10/2019 16:46,3020,34.031052,-118.26709,3000,,,15036,1,One Way,One Day Pass,electric
113263604,773,1/10/2019 17:23,1/11/2019 6:16,3038,34.046822,-118.248352,3000,,,5990,365,One Way,Annual Pass,standard
113187273,32,1/10/2019 18:29,1/10/2019 19:01,3011,34.041129999999995,-118.267982,3000,,,15060,30,One Way,Monthly Pass,electric
113190896,30,1/10/2019 19:50,1/10/2019 20:20,4266,34.026291,-118.27768700000001,3000,,,15055,1,One Way,One Day Pass,electric
113222169,6,1/11/2019 7:04,1/11/2019 7:10,3058,34.035801,-118.23317,3000,,,12344,365,One Way,Annual Pass,standard
113263169,5,1/11/2019 8:40,1/11/2019 8:45,3031,34.044701,-118.25244099999999,3000,,,6188,365,One Way,Walk-up,standard
113227852,21,1/11/2019 8:51,1/11/2019 9:12,3005,34.0485,-118.25853700000002,3000,,,15036,30,One Way,Monthly Pass,electric
113330564,10,1/11/2019 10:46,1/11/2019 10:56,3005,34.0485,-118.25853700000002,3000,,,6636,30,One Way,Monthly Pass,standard
113330554,20,1/11/2019 11:06,1/11/2019 11:26,3019,34.038609,-118.260857,3000,,,6539,1,One Way,Walk-up,standard
113239886,10,1/11/2019 12:05,1/11/2019 12:15,3011,34.041129999999995,-118.267982,3000,,,6113,30,One Way,Monthly Pass,standard
113241675,30,1/11/2019 12:43,1/11/2019 13:13,4267,34.027618,-118.28067800000001,3000,,,15070,30,One Way,Monthly Pass,electric
113466608,15,1/11/2019 16:14,1/11/2019 16:29,4215,34.014309000000004,-118.49134099999999,3000,,,6553,30,One Way,Monthly Pass,standard
113249610,19,1/11/2019 17:00,1/11/2019 17:19,3047,34.039982,-118.266403,3000,,,6355,365,One Way,Annual Pass,standard
113250038,30,1/11/2019 17:11,1/11/2019 17:41,3064,34.04681,-118.25698100000001,3000,,,6348,30,One Way,Monthly Pass,standard
113397176,1440,1/11/2019 18:01,1/13/2019 20:28,3032,34.049889,-118.255882,3000,,,6497,1,One Way,Walk-up,standard
113254962,27,1/11/2019 18:53,1/11/2019 19:20,3035,34.048401,-118.260948,3000,,,6456,30,One Way,Monthly Pass,standard
113255648,28,1/11/2019 19:06,1/11/2019 19:34,3006,34.04554,-118.25666799999999,3000,,,12009,30,One Way,Monthly Pass,standard
113255408,13,1/11/2019 19:14,1/11/2019 19:27,4212,33.988129,-118.471741,3000,,,12046,30,One Way,Monthly Pass,standard
113258214,31,1/11/2019 19:55,1/11/2019 20:26,3005,34.0485,-118.25853700000002,3000,,,15070,1,One Way,One Day Pass,electric
113258436,25,1/11/2019 20:08,1/11/2019 20:33,3005,34.0485,-118.25853700000002,3000,,,5808,30,One Way,Monthly Pass,standard
113397012,20,1/11/2019 22:57,1/11/2019 23:17,4202,33.991161,-118.46829199999999,3000,,,12442,1,One Way,Walk-up,standard
113396965,20,1/12/2019 9:08,1/12/2019 9:28,3076,34.0406,-118.25383799999999,3000,,,12225,30,One Way,Monthly Pass,standard
113314484,154,1/12/2019 13:34,1/12/2019 16:08,4210,33.984341,-118.47155,3000,,,6336,1,One Way,Walk-up,standard
113466086,1440,1/12/2019 15:19,1/14/2019 4:52,3074,34.04417,-118.261169,3000,,,6501,1,One Way,Walk-up,standard
113466053,1440,1/12/2019 15:40,1/14/2019 4:53,3063,34.048038,-118.25373799999998,3000,,,12408,1,One Way,Walk-up,standard
113465963,1440,1/12/2019 17:03,1/14/2019 4:43,3049,34.056969,-118.253593,3000,,,5716,1,One Way,Walk-up,standard
113465801,1440,1/12/2019 20:41,1/14/2019 4:42,4249,34.020302,-118.281181,3000,,,12448,1,One Way,Walk-up,standard
113465741,1440,1/12/2019 21:39,1/14/2019 4:45,3078,34.064281,-118.238937,3000,,,5878,1,One Way,Walk-up,standard
113465725,1440,1/12/2019 22:56,1/14/2019 4:48,3037,34.034801,-118.231277,3000,,,6186,1,One Way,Walk-up,standard
113358050,13,1/13/2019 7:32,1/13/2019 7:45,3076,34.0406,-118.25383799999999,3000,,,15038,30,One Way,Monthly Pass,electric
113363600,20,1/13/2019 9:24,1/13/2019 9:44,3031,34.044701,-118.25244099999999,3000,,,15070,1,One Way,One Day Pass,electric
113535086,1440,1/13/2019 10:07,1/15/2019 21:47,3068,34.0532,-118.25095400000001,3000,,,15036,1,One Way,Walk-up,electric
113535081,1440,1/13/2019 10:10,1/15/2019 5:00,3068,34.0532,-118.25095400000001,3000,,,6019,1,One Way,Walk-up,standard
113465463,36,1/13/2019 12:28,1/13/2019 13:04,4214,33.99556,-118.48155200000001,3000,,,5741,1,One Way,Walk-up,standard
113534821,1440,1/13/2019 13:56,1/15/2019 5:06,3031,34.044701,-118.25244099999999,3000,,,5909,1,One Way,Walk-up,standard
