trip_id,duration,start_time,end_time,start_station_id,start_lat,start_lon,end_station_id,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type
12288621,202,11/4/2016 8:04,11/4/2016 11:26,3058,34.035801,-118.23317,3000,,,6002,30,One Way,Monthly Pass
12293156,242,11/4/2016 8:22,11/4/2016 12:24,3052,34.051102,-118.26455700000001,3000,,,5967,30,One Way,Monthly Pass
12288457,11,11/4/2016 11:19,11/4/2016 11:30,3005,34.0485,-118.25853700000002,3000,,,5908,1,One Way,Walk-up
12306898,64,11/4/2016 13:57,11/4/2016 15:01,3051,34.045421999999995,-118.25351699999999,3000,,,6151,30,One Way,Monthly Pass
12316525,201,11/4/2016 14:21,11/4/2016 17:42,3014,34.05661,-118.23721299999998,3000,,,5992,1,One Way,Walk-up
12326253,184,11/4/2016 16:54,11/4/2016 19:58,3068,34.0532,-118.25095400000001,3000,,,5936,1,One Way,Walk-up
12331235,188,11/4/2016 17:11,11/4/2016 20:19,3069,34.05088,-118.248253,3000,,,5806,1,One Way,Walk-up
12326127,7,11/4/2016 19:15,11/4/2016 19:22,3005,34.0485,-118.25853700000002,3000,,,6242,30,One Way,Monthly Pass
12437526,189,11/5/2016 16:32,11/5/2016 19:41,3029,34.048851,-118.246422,3000,,,6527,1,One Way,Walk-up
12517325,700,11/6/2016 0:32,11/6/2016 11:12,3023,34.050911,-118.240967,3000,,,6139,1,One Way,Walk-up
12507908,477,11/6/2016 1:03,11/6/2016 9:00,3008,34.046611999999996,-118.26273300000001,3000,,,5830,1,One Way,Walk-up
12512523,16,11/6/2016 10:24,11/6/2016 10:40,3048,34.041691,-118.235352,3000,,,6097,30,One Way,Monthly Pass
12526721,26,11/6/2016 13:01,11/6/2016 13:27,3034,34.042061,-118.26338200000001,3000,,,6439,30,One Way,Monthly Pass
12526723,27,11/6/2016 13:01,11/6/2016 13:28,3034,34.042061,-118.26338200000001,3000,,,6089,30,One Way,Monthly Pass
12526688,22,11/6/2016 13:36,11/6/2016 13:58,3000,,,3014,34.05661,-118.23721299999998,6076,30,One Way,Monthly Pass
12531570,39,11/6/2016 14:05,11/6/2016 14:44,3082,34.04652,-118.23741100000001,3000,,,5985,1,One Way,Walk-up
12531541,33,11/6/2016 14:26,11/6/2016 14:59,3064,34.04681,-118.25698100000001,3000,,,5980,1,One Way,Walk-up
12531532,25,11/6/2016 14:34,11/6/2016 14:59,3000,,,3034,34.042061,-118.26338200000001,5997,30,One Way,Monthly Pass
12531529,24,11/6/2016 14:35,11/6/2016 14:59,3000,,,3034,34.042061,-118.26338200000001,6032,30,One Way,Monthly Pass
12740914,1440,11/6/2016 15:02,11/8/2016 10:24,3068,34.0532,-118.25095400000001,3000,,,5949,1,One Way,Walk-up
12628076,1187,11/6/2016 15:03,11/7/2016 10:50,3068,34.0532,-118.25095400000001,3000,,,6120,1,One Way,Walk-up
12551630,196,11/6/2016 15:39,11/6/2016 18:55,3022,34.04607,-118.233093,3000,,,6035,1,One Way,Walk-up
